,comorb_level,rr_config,dataset_type,model,roc_auc,pr_auc,accuracy
30,0.6,geno_10_mt_5,merged,logit,0.6608665216630416,0.6269745042917484,0.615
31,0.6,geno_10_mt_5,merged,logit,0.6142653566339158,0.5753122368451036,0.6025
32,0.6,geno_10_mt_5,merged,logit,0.5971149278731968,0.5891884118860352,0.5775
33,0.6,geno_10_mt_5,merged,logit,0.6005150128753218,0.5881179412283088,0.575
34,0.6,geno_10_mt_5,merged,logit,0.5916147903697592,0.579261474704349,0.575
35,0.6,geno_10_mt_5,merged,logit,0.6070901772544313,0.6106035711754998,0.5775
36,0.6,geno_10_mt_5,merged,logit,0.6193154828870722,0.6231279119196316,0.5825
37,0.6,geno_10_mt_5,merged,logit,0.6562914072851821,0.6220434813839522,0.6125
38,0.6,geno_10_mt_5,merged,logit,0.5920148003700092,0.5738894870633906,0.5475
39,0.6,geno_10_mt_5,merged,logit,0.5854396359908998,0.5653747468544441,0.58
40,0.6,geno_10_mt_5,merged,logit,0.6613415335383384,0.6470995467790053,0.6075
41,0.6,geno_10_mt_5,merged,logit,0.6284657116427911,0.6166588543880436,0.5775
42,0.6,geno_10_mt_5,merged,logit,0.6114402860071502,0.6112944099988001,0.605
43,0.6,geno_10_mt_5,merged,logit,0.5626140653516338,0.5496656201235327,0.5325
44,0.6,geno_10_mt_5,merged,logit,0.6546413660341508,0.6434664548449734,0.6175
45,0.6,geno_10_mt_5,merged,logit,0.5874896872421811,0.5756552136415062,0.57
46,0.6,geno_10_mt_5,merged,logit,0.605640141003525,0.5834875686659354,0.59
47,0.6,geno_10_mt_5,merged,logit,0.6423660591514788,0.6370132421741836,0.6175
48,0.6,geno_10_mt_5,merged,logit,0.653166329158229,0.6495975004479189,0.63
49,0.6,geno_10_mt_5,merged,logit,0.6194654866371659,0.6015438347153983,0.575
50,0.6,geno_10_mt_5,mt,logit,0.5533888347208681,0.5487636309701821,0.535
51,0.6,geno_10_mt_5,mt,logit,0.5876896922423062,0.6057282829817829,0.5425
52,0.6,geno_10_mt_5,mt,logit,0.5645641141028526,0.5619827536778647,0.53
53,0.6,geno_10_mt_5,mt,logit,0.56206405160129,0.5775012022289472,0.5525
54,0.6,geno_10_mt_5,mt,logit,0.5417635440886022,0.5400329061767863,0.535
55,0.6,geno_10_mt_5,mt,logit,0.547188679716993,0.5390635649407884,0.5425
56,0.6,geno_10_mt_5,mt,logit,0.5703142578564464,0.5590783766922073,0.535
57,0.6,geno_10_mt_5,mt,logit,0.5734393359833996,0.5919103031207728,0.5425
58,0.6,geno_10_mt_5,mt,logit,0.567939198479962,0.5760834836197541,0.5375
59,0.6,geno_10_mt_5,mt,logit,0.5887897197429935,0.5693082877418718,0.555
60,0.6,geno_10_mt_5,mt,logit,0.5890897272431811,0.5582702448533946,0.5675
61,0.6,geno_10_mt_5,mt,logit,0.5423385584639616,0.5575502236620768,0.5125
62,0.6,geno_10_mt_5,mt,logit,0.5424385609640241,0.5341602669956165,0.545
63,0.6,geno_10_mt_5,mt,logit,0.5596889922248056,0.6024142352004751,0.5375
64,0.6,geno_10_mt_5,mt,logit,0.5936898422460561,0.592062586012472,0.565
65,0.6,geno_10_mt_5,mt,logit,0.5425385634640867,0.5511413803649632,0.5025
66,0.6,geno_10_mt_5,mt,logit,0.5464886622165553,0.5862700406945792,0.54
67,0.6,geno_10_mt_5,mt,logit,0.4820370509262732,0.516895049314979,0.475
68,0.6,geno_10_mt_5,mt,logit,0.5252881322033051,0.547629938124337,0.5225
69,0.6,geno_10_mt_5,mt,logit,0.5304382609565239,0.5160138334523469,0.5175
70,0.6,geno_10_mt_5,mt,logit,0.6095152378809471,0.6033779300830949,0.5625
71,0.6,geno_10_mt_5,mt,logit,0.5984149603740094,0.5833673301178128,0.555
72,0.6,geno_10_mt_5,mt,logit,0.5696142403560089,0.5653601174807124,0.5425
73,0.6,geno_10_mt_5,mt,logit,0.5221380534513363,0.525391870486873,0.5025
74,0.6,geno_10_mt_5,mt,logit,0.5914397859946499,0.6042710967427682,0.5625
75,0.6,geno_10_mt_5,mt,logit,0.606115152878822,0.6524940463339503,0.5875
76,0.6,geno_10_mt_5,mt,logit,0.5719642991074777,0.5547757311709314,0.55
77,0.6,geno_10_mt_5,mt,logit,0.6044901122528064,0.5959958840272715,0.58
78,0.6,geno_10_mt_5,mt,logit,0.5357633940848521,0.5643087767948094,0.53
79,0.6,geno_10_mt_5,mt,logit,0.5305882647066177,0.5521339088061186,0.4925
80,0.6,geno_10_mt_5,mt,logit,0.5515387884697117,0.5562496293912899,0.5075
81,0.6,geno_10_mt_5,mt,logit,0.5213880347008675,0.5139957599107154,0.5175
82,0.6,geno_10_mt_5,mt,logit,0.5326633165829145,0.5493541004991054,0.54
83,0.6,geno_10_mt_5,mt,logit,0.6146653666341658,0.6266035070174836,0.5825
84,0.6,geno_10_mt_5,mt,logit,0.5210130253256332,0.5202166567305223,0.5075
85,0.6,geno_10_mt_5,mt,logit,0.5600390009750245,0.5320188198171925,0.545
