AVG	SEARCHED
9.5	_EPS_0.006_Samp_147
9.25	_EPS_0.006_Samp_149
9.0	_EPS_0.006_Samp_151
8.5	_EPS_0.006_Samp_153
8.5	_EPS_0.006_Samp_155
8.75	_EPS_0.006_Samp_157
8.5	_EPS_0.006_Samp_159
8.5	_EPS_0.006_Samp_161
47.75	_EPS_0.008_Samp_3
33.75	_EPS_0.008_Samp_5
26.583333333333332	_EPS_0.008_Samp_7
22.0	_EPS_0.008_Samp_9
19.666666666666668	_EPS_0.008_Samp_11
17.291666666666668	_EPS_0.008_Samp_13
15.0	_EPS_0.008_Samp_15
42.25	_EPS_0.008_Samp_17
38.75	_EPS_0.008_Samp_19
36.5	_EPS_0.008_Samp_21
33.75	_EPS_0.008_Samp_23
31.25	_EPS_0.008_Samp_25
29.0	_EPS_0.008_Samp_27
28.0	_EPS_0.008_Samp_29
25.5	_EPS_0.008_Samp_31
24.5	_EPS_0.008_Samp_33
23.0	_EPS_0.008_Samp_35
22.25	_EPS_0.008_Samp_37
20.75	_EPS_0.008_Samp_39
20.0	_EPS_0.008_Samp_41
18.75	_EPS_0.008_Samp_43
18.25	_EPS_0.008_Samp_45
18.25	_EPS_0.008_Samp_47
17.75	_EPS_0.008_Samp_49
17.75	_EPS_0.008_Samp_51
17.25	_EPS_0.008_Samp_53
17.0	_EPS_0.008_Samp_55
16.5	_EPS_0.008_Samp_57
16.5	_EPS_0.008_Samp_59
16.25	_EPS_0.008_Samp_61
16.0	_EPS_0.008_Samp_63
15.75	_EPS_0.008_Samp_65
15.5	_EPS_0.008_Samp_67
15.5	_EPS_0.008_Samp_69
15.0	_EPS_0.008_Samp_71
14.5	_EPS_0.008_Samp_73
14.0	_EPS_0.008_Samp_75
13.75	_EPS_0.008_Samp_77
13.5	_EPS_0.008_Samp_79
13.0	_EPS_0.008_Samp_81
13.0	_EPS_0.008_Samp_83
13.0	_EPS_0.008_Samp_85
12.75	_EPS_0.008_Samp_87
12.5	_EPS_0.008_Samp_89
12.25	_EPS_0.008_Samp_91
12.0	_EPS_0.008_Samp_93
11.75	_EPS_0.008_Samp_95
11.75	_EPS_0.008_Samp_97
11.75	_EPS_0.008_Samp_99
11.5	_EPS_0.008_Samp_101
11.5	_EPS_0.008_Samp_103
11.5	_EPS_0.008_Samp_105
11.5	_EPS_0.008_Samp_107
11.5	_EPS_0.008_Samp_109
11.5	_EPS_0.008_Samp_111
11.5	_EPS_0.008_Samp_113
11.5	_EPS_0.008_Samp_115
11.5	_EPS_0.008_Samp_117
11.25	_EPS_0.008_Samp_119
11.25	_EPS_0.008_Samp_121
11.25	_EPS_0.008_Samp_123
11.25	_EPS_0.008_Samp_125
11.0	_EPS_0.008_Samp_127
11.0	_EPS_0.008_Samp_129
11.0	_EPS_0.008_Samp_131
10.75	_EPS_0.008_Samp_133
10.5	_EPS_0.008_Samp_135
10.5	_EPS_0.008_Samp_137
10.25	_EPS_0.008_Samp_139
10.25	_EPS_0.008_Samp_141
10.25	_EPS_0.008_Samp_143
10.0	_EPS_0.008_Samp_145
9.75	_EPS_0.008_Samp_147
9.5	_EPS_0.008_Samp_149
9.5	_EPS_0.008_Samp_151
8.75	_EPS_0.008_Samp_153
8.75	_EPS_0.008_Samp_155
8.75	_EPS_0.008_Samp_157
8.5	_EPS_0.008_Samp_159
8.5	_EPS_0.008_Samp_161
45.833333333333336	_EPS_0.01_Samp_3
32.041666666666664	_EPS_0.01_Samp_5
26.125	_EPS_0.01_Samp_7
22.125	_EPS_0.01_Samp_9
19.791666666666668	_EPS_0.01_Samp_11
17.125	_EPS_0.01_Samp_13
15.416666666666666	_EPS_0.01_Samp_15
40.5	_EPS_0.01_Samp_17
37.0	_EPS_0.01_Samp_19
34.5	_EPS_0.01_Samp_21
32.75	_EPS_0.01_Samp_23
30.25	_EPS_0.01_Samp_25
28.75	_EPS_0.01_Samp_27
27.5	_EPS_0.01_Samp_29
25.75	_EPS_0.01_Samp_31
24.0	_EPS_0.01_Samp_33
23.0	_EPS_0.01_Samp_35
21.75	_EPS_0.01_Samp_37
20.0	_EPS_0.01_Samp_39
19.5	_EPS_0.01_Samp_41
19.0	_EPS_0.01_Samp_43
18.25	_EPS_0.01_Samp_45
18.0	_EPS_0.01_Samp_47
17.75	_EPS_0.01_Samp_49
17.25	_EPS_0.01_Samp_51
17.0	_EPS_0.01_Samp_53
16.25	_EPS_0.01_Samp_55
16.0	_EPS_0.01_Samp_57
16.0	_EPS_0.01_Samp_59
15.5	_EPS_0.01_Samp_61
15.25	_EPS_0.01_Samp_63
15.25	_EPS_0.01_Samp_65
15.0	_EPS_0.01_Samp_67
15.0	_EPS_0.01_Samp_69
14.75	_EPS_0.01_Samp_71
14.75	_EPS_0.01_Samp_73
14.0	_EPS_0.01_Samp_75
14.0	_EPS_0.01_Samp_77
13.75	_EPS_0.01_Samp_79
13.5	_EPS_0.01_Samp_81
13.0	_EPS_0.01_Samp_83
13.0	_EPS_0.01_Samp_85
12.75	_EPS_0.01_Samp_87
12.75	_EPS_0.01_Samp_89
12.75	_EPS_0.01_Samp_91
12.75	_EPS_0.01_Samp_93
12.5	_EPS_0.01_Samp_95
12.5	_EPS_0.01_Samp_97
12.25	_EPS_0.01_Samp_99
12.0	_EPS_0.01_Samp_101
12.0	_EPS_0.01_Samp_103
12.0	_EPS_0.01_Samp_105
11.75	_EPS_0.01_Samp_107
11.75	_EPS_0.01_Samp_109
11.75	_EPS_0.01_Samp_111
11.75	_EPS_0.01_Samp_113
11.5	_EPS_0.01_Samp_115
11.5	_EPS_0.01_Samp_117
11.5	_EPS_0.01_Samp_119
11.25	_EPS_0.01_Samp_121
11.25	_EPS_0.01_Samp_123
11.25	_EPS_0.01_Samp_125
11.25	_EPS_0.01_Samp_127
11.0	_EPS_0.01_Samp_129
11.0	_EPS_0.01_Samp_131
10.75	_EPS_0.01_Samp_133
10.5	_EPS_0.01_Samp_135
10.5	_EPS_0.01_Samp_137
10.5	_EPS_0.01_Samp_139
10.5	_EPS_0.01_Samp_141
10.25	_EPS_0.01_Samp_143
10.25	_EPS_0.01_Samp_145
10.0	_EPS_0.01_Samp_147
10.0	_EPS_0.01_Samp_149
10.0	_EPS_0.01_Samp_151
9.75	_EPS_0.01_Samp_153
9.5	_EPS_0.01_Samp_155
9.5	_EPS_0.01_Samp_157
9.25	_EPS_0.01_Samp_159
9.25	_EPS_0.01_Samp_161
43.958333333333336	_EPS_0.012_Samp_3
30.625	_EPS_0.012_Samp_5
25.416666666666668	_EPS_0.012_Samp_7
21.708333333333332	_EPS_0.012_Samp_9
19.375	_EPS_0.012_Samp_11
17.041666666666668	_EPS_0.012_Samp_13
15.416666666666666	_EPS_0.012_Samp_15
39.25	_EPS_0.012_Samp_17
35.5	_EPS_0.012_Samp_19
33.5	_EPS_0.012_Samp_21
32.25	_EPS_0.012_Samp_23
30.25	_EPS_0.012_Samp_25
29.25	_EPS_0.012_Samp_27
28.25	_EPS_0.012_Samp_29
26.0	_EPS_0.012_Samp_31
25.25	_EPS_0.012_Samp_33
23.75	_EPS_0.012_Samp_35
21.75	_EPS_0.012_Samp_37
19.75	_EPS_0.012_Samp_39
19.0	_EPS_0.012_Samp_41
18.75	_EPS_0.012_Samp_43
18.25	_EPS_0.012_Samp_45
17.75	_EPS_0.012_Samp_47
17.75	_EPS_0.012_Samp_49
17.0	_EPS_0.012_Samp_51
16.75	_EPS_0.012_Samp_53
16.25	_EPS_0.012_Samp_55
16.0	_EPS_0.012_Samp_57
15.5	_EPS_0.012_Samp_59
15.5	_EPS_0.012_Samp_61
15.25	_EPS_0.012_Samp_63
15.25	_EPS_0.012_Samp_65
15.0	_EPS_0.012_Samp_67
14.75	_EPS_0.012_Samp_69
14.5	_EPS_0.012_Samp_71
14.5	_EPS_0.012_Samp_73
14.75	_EPS_0.012_Samp_75
13.75	_EPS_0.012_Samp_77
13.75	_EPS_0.012_Samp_79
13.75	_EPS_0.012_Samp_81
13.5	_EPS_0.012_Samp_83
13.25	_EPS_0.012_Samp_85
12.75	_EPS_0.012_Samp_87
